region,value
Northland Region,12504.24655
Auckland Region,4941.072252
Waikato Region,23900.36402
Bay of Plenty Region,12071.80913
Gisborne Region,8385.326465
Hawke's Bay Region,14138.01134
Taranaki Region,7254.469323
Manawatu-Whanganui Region,22220.58394
Wellington Region,8048.599793
West Coast Region,23245.2364
Canterbury Region,44504.27763
Otago Region,31186.33373
Southland Region,31196.12009
Tasman Region,9616.127595
Nelson Region,
Marlborough Region,10457.82327
Area Outside Region,798.654533
